Web Search interest: antonio+lanzavecchia
Worldwide 2004 - present

Interest over time
Week,antonio+lanzavecchia
2004-01-04 - 2004-01-10,46
2004-01-11 - 2004-01-17,51
2004-01-18 - 2004-01-24,52
2004-01-25 - 2004-01-31,52
2004-02-01 - 2004-02-07,50
2004-02-08 - 2004-02-14,50
2004-02-15 - 2004-02-21,51
2004-02-22 - 2004-02-28,50
2004-02-29 - 2004-03-06,52
2004-03-07 - 2004-03-13,51
2004-03-14 - 2004-03-20,50
2004-03-21 - 2004-03-27,50
2004-03-28 - 2004-04-03,54
2004-04-04 - 2004-04-10,49
2004-04-11 - 2004-04-17,52
2004-04-18 - 2004-04-24,52
2004-04-25 - 2004-05-01,53
2004-05-02 - 2004-05-08,51
2004-05-09 - 2004-05-15,56
2004-05-16 - 2004-05-22,58
2004-05-23 - 2004-05-29,53
2004-05-30 - 2004-06-05,55
2004-06-06 - 2004-06-12,55
2004-06-13 - 2004-06-19,53
2004-06-20 - 2004-06-26,52
2004-06-27 - 2004-07-03,51
2004-07-04 - 2004-07-10,50
2004-07-11 - 2004-07-17,51
2004-07-18 - 2004-07-24,54
2004-07-25 - 2004-07-31,51
2004-08-01 - 2004-08-07,51
2004-08-08 - 2004-08-14,50
2004-08-15 - 2004-08-21,46
2004-08-22 - 2004-08-28,48
2004-08-29 - 2004-09-04,49
2004-09-05 - 2004-09-11,50
2004-09-12 - 2004-09-18,48
2004-09-19 - 2004-09-25,49
2004-09-26 - 2004-10-02,50
2004-10-03 - 2004-10-09,50
2004-10-10 - 2004-10-16,48
2004-10-17 - 2004-10-23,51
2004-10-24 - 2004-10-30,51
2004-10-31 - 2004-11-06,47
2004-11-07 - 2004-11-13,50
2004-11-14 - 2004-11-20,50
2004-11-21 - 2004-11-27,47
2004-11-28 - 2004-12-04,48
2004-12-05 - 2004-12-11,46
2004-12-12 - 2004-12-18,47
2004-12-19 - 2004-12-25,42
2004-12-26 - 2005-01-01,46
2005-01-02 - 2005-01-08,47
2005-01-09 - 2005-01-15,49
2005-01-16 - 2005-01-22,49
2005-01-23 - 2005-01-29,49
2005-01-30 - 2005-02-05,50
2005-02-06 - 2005-02-12,50
2005-02-13 - 2005-02-19,51
2005-02-20 - 2005-02-26,54
2005-02-27 - 2005-03-05,53
2005-03-06 - 2005-03-12,52
2005-03-13 - 2005-03-19,49
2005-03-20 - 2005-03-26,49
2005-03-27 - 2005-04-02,53
2005-04-03 - 2005-04-09,49
2005-04-10 - 2005-04-16,51
2005-04-17 - 2005-04-23,52
2005-04-24 - 2005-04-30,52
2005-05-01 - 2005-05-07,54
2005-05-08 - 2005-05-14,53
2005-05-15 - 2005-05-21,54
