Web Search interest: alvin+e.+roth
Worldwide 2004 - present

Interest over time
Week,alvin+e.+roth
2004-01-04 - 2004-01-10,68
2004-01-11 - 2004-01-17,68
2004-01-18 - 2004-01-24,69
2004-01-25 - 2004-01-31,69
2004-02-01 - 2004-02-07,74
2004-02-08 - 2004-02-14,70
2004-02-15 - 2004-02-21,71
2004-02-22 - 2004-02-28,73
2004-02-29 - 2004-03-06,72
2004-03-07 - 2004-03-13,65
2004-03-14 - 2004-03-20,66
2004-03-21 - 2004-03-27,65
2004-03-28 - 2004-04-03,71
2004-04-04 - 2004-04-10,70
2004-04-11 - 2004-04-17,69
2004-04-18 - 2004-04-24,66
2004-04-25 - 2004-05-01,65
2004-05-02 - 2004-05-08,65
2004-05-09 - 2004-05-15,62
2004-05-16 - 2004-05-22,63
2004-05-23 - 2004-05-29,62
2004-05-30 - 2004-06-05,59
2004-06-06 - 2004-06-12,56
2004-06-13 - 2004-06-19,56
2004-06-20 - 2004-06-26,61
2004-06-27 - 2004-07-03,57
2004-07-04 - 2004-07-10,62
2004-07-11 - 2004-07-17,60
2004-07-18 - 2004-07-24,58
2004-07-25 - 2004-07-31,57
2004-08-01 - 2004-08-07,59
2004-08-08 - 2004-08-14,64
2004-08-15 - 2004-08-21,58
2004-08-22 - 2004-08-28,56
2004-08-29 - 2004-09-04,55
2004-09-05 - 2004-09-11,56
2004-09-12 - 2004-09-18,57
2004-09-19 - 2004-09-25,58
2004-09-26 - 2004-10-02,59
2004-10-03 - 2004-10-09,60
2004-10-10 - 2004-10-16,59
2004-10-17 - 2004-10-23,61
2004-10-24 - 2004-10-30,59
2004-10-31 - 2004-11-06,59
2004-11-07 - 2004-11-13,58
2004-11-14 - 2004-11-20,61
2004-11-21 - 2004-11-27,55
2004-11-28 - 2004-12-04,62
2004-12-05 - 2004-12-11,61
2004-12-12 - 2004-12-18,63
2004-12-19 - 2004-12-25,52
2004-12-26 - 2005-01-01,56
2005-01-02 - 2005-01-08,68
2005-01-09 - 2005-01-15,62
2005-01-16 - 2005-01-22,60
2005-01-23 - 2005-01-29,64
2005-01-30 - 2005-02-05,65
2005-02-06 - 2005-02-12,65
2005-02-13 - 2005-02-19,65
2005-02-20 - 2005-02-26,65
2005-02-27 - 2005-03-05,63
2005-03-06 - 2005-03-12,65
2005-03-13 - 2005-03-19,66
2005-03-20 - 2005-03-26,62
2005-03-27 - 2005-04-02,64
2005-04-03 - 2005-04-09,65
2005-04-10 - 2005-04-16,70
2005-04-17 - 2005-04-23,59
2005-04-24 - 2005-04-30,61
2005-05-01 - 2005-05-07,61
2005-05-08 - 2005-05-14,57
2005-05-15 - 2005-05-21,57
2005-05-22 - 2005-05-28,56
2005-05-29 - 2005-06-04,55
2005-06-05 - 2005-06-11,55
2005-06-12 - 2005-06-18,54
2005-06-19 - 2005-06-25,56
2005-06-26 - 2005-07-02,57
2005-07-03 - 2005-07-09,59
2005-07-10 - 2005-07-16,58
2005-07-17 - 2005-07-23,56
2005-07-24 - 2005-07-30,56
2005-07-31 - 2005-08-06,55
2005-08-07 - 2005-08-13,59
2005-08-14 - 2005-08-20,56
2005-08-21 - 2005-08-27,54
2005-08-28 - 2005-09-03,52
2005-09-04 - 2005-09-10,55
2005-09-11 - 2005-09-17,54
2005-09-18 - 2005-09-24,56
2005-09-25 - 2005-10-01,57
2005-10-02 - 2005-10-08,57
2005-10-09 - 2005-10-15,56
2005-10-16 - 2005-10-22,54
2005-10-23 - 2005-10-29,60
2005-10-30 - 2005-11-05,58
2005-11-06 - 2005-11-12,57
2005-11-13 - 2005-11-19,58
2005-11-20 - 2005-11-26,49
2005-11-27 - 2005-12-03,57
2005-12-04 - 2005-12-10,61
2005-12-11 - 2005-12-17,57
2005-12-18 - 2005-12-24,55
2005-12-25 - 2005-12-31,55
2006-01-01 - 2006-01-07,68
2006-01-08 - 2006-01-14,66
2006-01-15 - 2006-01-21,60
2006-01-22 - 2006-01-28,60
2006-01-29 - 2006-02-04,61
2006-02-05 - 2006-02-11,61
2006-02-12 - 2006-02-18,58
2006-02-19 - 2006-02-25,60
2006-02-26 - 2006-03-04,61
2006-03-05 - 2006-03-11,58
2006-03-12 - 2006-03-18,57
2006-03-19 - 2006-03-25,61
2006-03-26 - 2006-04-01,60
2006-04-02 - 2006-04-08,60
2006-04-09 - 2006-04-15,61
2006-04-16 - 2006-04-22,62
2006-04-23 - 2006-04-29,59
