Web Search interest: encryption
Worldwide 2004 - present

Interest over time
Week,encryption
2004-01-04 - 2004-01-10,81
2004-01-11 - 2004-01-17,87
2004-01-18 - 2004-01-24,87
2004-01-25 - 2004-01-31,89
2004-02-01 - 2004-02-07,91
2004-02-08 - 2004-02-14,89
2004-02-15 - 2004-02-21,87
2004-02-22 - 2004-02-28,92
2004-02-29 - 2004-03-06,100
2004-03-07 - 2004-03-13,82
2004-03-14 - 2004-03-20,95
2004-03-21 - 2004-03-27,81
2004-03-28 - 2004-04-03,88
2004-04-04 - 2004-04-10,91
2004-04-11 - 2004-04-17,91
2004-04-18 - 2004-04-24,95
2004-04-25 - 2004-05-01,87
2004-05-02 - 2004-05-08,92
2004-05-09 - 2004-05-15,87
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,79
2004-05-30 - 2004-06-05,86
2004-06-06 - 2004-06-12,81
2004-06-13 - 2004-06-19,81
2004-06-20 - 2004-06-26,82
2004-06-27 - 2004-07-03,75
2004-07-04 - 2004-07-10,80
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,84
2004-07-25 - 2004-07-31,83
2004-08-01 - 2004-08-07,88
2004-08-08 - 2004-08-14,82
2004-08-15 - 2004-08-21,85
2004-08-22 - 2004-08-28,80
2004-08-29 - 2004-09-04,79
2004-09-05 - 2004-09-11,81
2004-09-12 - 2004-09-18,81
2004-09-19 - 2004-09-25,80
2004-09-26 - 2004-10-02,82
2004-10-03 - 2004-10-09,80
2004-10-10 - 2004-10-16,83
2004-10-17 - 2004-10-23,78
2004-10-24 - 2004-10-30,78
2004-10-31 - 2004-11-06,80
2004-11-07 - 2004-11-13,76
2004-11-14 - 2004-11-20,73
2004-11-21 - 2004-11-27,73
2004-11-28 - 2004-12-04,78
2004-12-05 - 2004-12-11,81
2004-12-12 - 2004-12-18,81
2004-12-19 - 2004-12-25,70
2004-12-26 - 2005-01-01,67
2005-01-02 - 2005-01-08,74
2005-01-09 - 2005-01-15,73
2005-01-16 - 2005-01-22,74
2005-01-23 - 2005-01-29,77
2005-01-30 - 2005-02-05,77
2005-02-06 - 2005-02-12,74
2005-02-13 - 2005-02-19,79
2005-02-20 - 2005-02-26,82
2005-02-27 - 2005-03-05,73
2005-03-06 - 2005-03-12,78
2005-03-13 - 2005-03-19,76
2005-03-20 - 2005-03-26,77
2005-03-27 - 2005-04-02,77
2005-04-03 - 2005-04-09,71
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,71
2005-04-24 - 2005-04-30,76
2005-05-01 - 2005-05-07,73
2005-05-08 - 2005-05-14,73
2005-05-15 - 2005-05-21,74
2005-05-22 - 2005-05-28,74
2005-05-29 - 2005-06-04,67
2005-06-05 - 2005-06-11,73
2005-06-12 - 2005-06-18,72
2005-06-19 - 2005-06-25,67
2005-06-26 - 2005-07-02,71
2005-07-03 - 2005-07-09,65
2005-07-10 - 2005-07-16,67
2005-07-17 - 2005-07-23,63
2005-07-24 - 2005-07-30,68
2005-07-31 - 2005-08-06,69
2005-08-07 - 2005-08-13,67
2005-08-14 - 2005-08-20,68
2005-08-21 - 2005-08-27,67
2005-08-28 - 2005-09-03,64
2005-09-04 - 2005-09-10,61
2005-09-11 - 2005-09-17,64
2005-09-18 - 2005-09-24,65
2005-09-25 - 2005-10-01,65
2005-10-02 - 2005-10-08,63
2005-10-09 - 2005-10-15,62
2005-10-16 - 2005-10-22,63
2005-10-23 - 2005-10-29,65
2005-10-30 - 2005-11-05,59
2005-11-06 - 2005-11-12,61
2005-11-13 - 2005-11-19,63
2005-11-20 - 2005-11-26,61
2005-11-27 - 2005-12-03,61
2005-12-04 - 2005-12-10,62
2005-12-11 - 2005-12-17,62
2005-12-18 - 2005-12-24,57
2005-12-25 - 2005-12-31,51
2006-01-01 - 2006-01-07,58
2006-01-08 - 2006-01-14,62
2006-01-15 - 2006-01-21,58
2006-01-22 - 2006-01-28,58
2006-01-29 - 2006-02-04,63
2006-02-05 - 2006-02-11,59
2006-02-12 - 2006-02-18,62
2006-02-19 - 2006-02-25,65
2006-02-26 - 2006-03-04,62
2006-03-05 - 2006-03-11,60
2006-03-12 - 2006-03-18,59
2006-03-19 - 2006-03-25,59
2006-03-26 - 2006-04-01,59
2006-04-02 - 2006-04-08,56
2006-04-09 - 2006-04-15,57
2006-04-16 - 2006-04-22,58
2006-04-23 - 2006-04-29,56
2006-04-30 - 2006-05-06,55
2006-05-07 - 2006-05-13,56
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,56
2006-05-28 - 2006-06-03,53
2006-06-04 - 2006-06-10,57
2006-06-11 - 2006-06-17,55
2006-06-18 - 2006-06-24,56
2006-06-25 - 2006-07-01,52
2006-07-02 - 2006-07-08,49
2006-07-09 - 2006-07-15,54
2006-07-16 - 2006-07-22,53
2006-07-23 - 2006-07-29,52
2006-07-30 - 2006-08-05,51
2006-08-06 - 2006-08-12,53
2006-08-13 - 2006-08-19,54
2006-08-20 - 2006-08-26,53
2006-08-27 - 2006-09-02,51
2006-09-03 - 2006-09-09,49
2006-09-10 - 2006-09-16,54
2006-09-17 - 2006-09-23,52
2006-09-24 - 2006-09-30,53
2006-10-01 - 2006-10-07,51
2006-10-08 - 2006-10-14,51
2006-10-15 - 2006-10-21,50
2006-10-22 - 2006-10-28,54
2006-10-29 - 2006-11-04,50
2006-11-05 - 2006-11-11,51
2006-11-12 - 2006-11-18,53
2006-11-19 - 2006-11-25,46
2006-11-26 - 2006-12-02,51
2006-12-03 - 2006-12-09,52
2006-12-10 - 2006-12-16,50
2006-12-17 - 2006-12-23,45
2006-12-24 - 2006-12-30,43
2006-12-31 - 2007-01-06,46
2007-01-07 - 2007-01-13,50
2007-01-14 - 2007-01-20,50
2007-01-21 - 2007-01-27,51
2007-01-28 - 2007-02-03,48
2007-02-04 - 2007-02-10,48
2007-02-11 - 2007-02-17,48
2007-02-18 - 2007-02-24,49
2007-02-25 - 2007-03-03,48
2007-03-04 - 2007-03-10,47
2007-03-11 - 2007-03-17,48
2007-03-18 - 2007-03-24,46
2007-03-25 - 2007-03-31,45
2007-04-01 - 2007-04-07,46
2007-04-08 - 2007-04-14,44
2007-04-15 - 2007-04-21,47
2007-04-22 - 2007-04-28,45
2007-04-29 - 2007-05-05,52
2007-05-06 - 2007-05-12,48
2007-05-13 - 2007-05-19,44
2007-05-20 - 2007-05-26,44
2007-05-27 - 2007-06-02,45
2007-06-03 - 2007-06-09,42
2007-06-10 - 2007-06-16,44
2007-06-17 - 2007-06-23,42
2007-06-24 - 2007-06-30,42
2007-07-01 - 2007-07-07,40
2007-07-08 - 2007-07-14,44
2007-07-15 - 2007-07-21,43
2007-07-22 - 2007-07-28,44
2007-07-29 - 2007-08-04,43
2007-08-05 - 2007-08-11,42
2007-08-12 - 2007-08-18,43
2007-08-19 - 2007-08-25,43
2007-08-26 - 2007-09-01,43
2007-09-02 - 2007-09-08,40
2007-09-09 - 2007-09-15,42
2007-09-16 - 2007-09-22,41
2007-09-23 - 2007-09-29,41
2007-09-30 - 2007-10-06,40
2007-10-07 - 2007-10-13,43
2007-10-14 - 2007-10-20,43
2007-10-21 - 2007-10-27,43
2007-10-28 - 2007-11-03,42
2007-11-04 - 2007-11-10,40
