Web Search interest: normal distribution
Worldwide 2004 - present

Interest over time
Week,normal distribution
2004-01-04 - 2004-01-10,57
2004-01-11 - 2004-01-17,62
2004-01-18 - 2004-01-24,75
2004-01-25 - 2004-01-31,65
2004-02-01 - 2004-02-07,92
2004-02-08 - 2004-02-14,84
2004-02-15 - 2004-02-21,75
2004-02-22 - 2004-02-28,85
2004-02-29 - 2004-03-06,91
2004-03-07 - 2004-03-13,84
2004-03-14 - 2004-03-20,78
2004-03-21 - 2004-03-27,60
2004-03-28 - 2004-04-03,72
2004-04-04 - 2004-04-10,81
2004-04-11 - 2004-04-17,79
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,83
2004-05-02 - 2004-05-08,83
2004-05-09 - 2004-05-15,80
2004-05-16 - 2004-05-22,71
2004-05-23 - 2004-05-29,64
2004-05-30 - 2004-06-05,60
2004-06-06 - 2004-06-12,64
2004-06-13 - 2004-06-19,74
2004-06-20 - 2004-06-26,63
2004-06-27 - 2004-07-03,60
2004-07-04 - 2004-07-10,54
2004-07-11 - 2004-07-17,48
2004-07-18 - 2004-07-24,51
2004-07-25 - 2004-07-31,61
2004-08-01 - 2004-08-07,65
2004-08-08 - 2004-08-14,61
2004-08-15 - 2004-08-21,49
2004-08-22 - 2004-08-28,60
2004-08-29 - 2004-09-04,55
2004-09-05 - 2004-09-11,66
2004-09-12 - 2004-09-18,73
2004-09-19 - 2004-09-25,84
2004-09-26 - 2004-10-02,86
2004-10-03 - 2004-10-09,88
2004-10-10 - 2004-10-16,100
2004-10-17 - 2004-10-23,81
2004-10-24 - 2004-10-30,93
2004-10-31 - 2004-11-06,86
2004-11-07 - 2004-11-13,90
2004-11-14 - 2004-11-20,86
2004-11-21 - 2004-11-27,67
2004-11-28 - 2004-12-04,83
2004-12-05 - 2004-12-11,81
2004-12-12 - 2004-12-18,63
2004-12-19 - 2004-12-25,44
2004-12-26 - 2005-01-01,33
2005-01-02 - 2005-01-08,50
2005-01-09 - 2005-01-15,50
2005-01-16 - 2005-01-22,58
2005-01-23 - 2005-01-29,73
2005-01-30 - 2005-02-05,74
2005-02-06 - 2005-02-12,81
2005-02-13 - 2005-02-19,80
2005-02-20 - 2005-02-26,91
2005-02-27 - 2005-03-05,77
2005-03-06 - 2005-03-12,74
2005-03-13 - 2005-03-19,72
2005-03-20 - 2005-03-26,58
2005-03-27 - 2005-04-02,68
2005-04-03 - 2005-04-09,68
2005-04-10 - 2005-04-16,66
2005-04-17 - 2005-04-23,72
2005-04-24 - 2005-04-30,79
2005-05-01 - 2005-05-07,76
2005-05-08 - 2005-05-14,68
2005-05-15 - 2005-05-21,68
2005-05-22 - 2005-05-28,54
2005-05-29 - 2005-06-04,57
2005-06-05 - 2005-06-11,59
2005-06-12 - 2005-06-18,64
2005-06-19 - 2005-06-25,56
2005-06-26 - 2005-07-02,55
2005-07-03 - 2005-07-09,46
2005-07-10 - 2005-07-16,47
2005-07-17 - 2005-07-23,52
2005-07-24 - 2005-07-30,53
2005-07-31 - 2005-08-06,45
2005-08-07 - 2005-08-13,48
2005-08-14 - 2005-08-20,50
2005-08-21 - 2005-08-27,56
2005-08-28 - 2005-09-03,48
2005-09-04 - 2005-09-10,58
2005-09-11 - 2005-09-17,62
2005-09-18 - 2005-09-24,67
2005-09-25 - 2005-10-01,75
2005-10-02 - 2005-10-08,79
2005-10-09 - 2005-10-15,83
2005-10-16 - 2005-10-22,73
2005-10-23 - 2005-10-29,75
2005-10-30 - 2005-11-05,82
2005-11-06 - 2005-11-12,76
2005-11-13 - 2005-11-19,75
2005-11-20 - 2005-11-26,58
2005-11-27 - 2005-12-03,67
2005-12-04 - 2005-12-10,76
2005-12-11 - 2005-12-17,71
2005-12-18 - 2005-12-24,41
2005-12-25 - 2005-12-31,27
2006-01-01 - 2006-01-07,40
2006-01-08 - 2006-01-14,54
2006-01-15 - 2006-01-21,54
2006-01-22 - 2006-01-28,67
2006-01-29 - 2006-02-04,67
2006-02-05 - 2006-02-11,62
2006-02-12 - 2006-02-18,72
2006-02-19 - 2006-02-25,69
2006-02-26 - 2006-03-04,70
2006-03-05 - 2006-03-11,66
2006-03-12 - 2006-03-18,75
2006-03-19 - 2006-03-25,73
2006-03-26 - 2006-04-01,62
2006-04-02 - 2006-04-08,69
2006-04-09 - 2006-04-15,67
2006-04-16 - 2006-04-22,68
2006-04-23 - 2006-04-29,63
2006-04-30 - 2006-05-06,69
2006-05-07 - 2006-05-13,66
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,58
2006-05-28 - 2006-06-03,54
2006-06-04 - 2006-06-10,52
2006-06-11 - 2006-06-17,47
2006-06-18 - 2006-06-24,47
2006-06-25 - 2006-07-01,45
2006-07-02 - 2006-07-08,42
2006-07-09 - 2006-07-15,38
2006-07-16 - 2006-07-22,41
2006-07-23 - 2006-07-29,46
2006-07-30 - 2006-08-05,45
2006-08-06 - 2006-08-12,42
2006-08-13 - 2006-08-19,41
2006-08-20 - 2006-08-26,43
2006-08-27 - 2006-09-02,45
2006-09-03 - 2006-09-09,46
2006-09-10 - 2006-09-16,67
2006-09-17 - 2006-09-23,56
2006-09-24 - 2006-09-30,63
2006-10-01 - 2006-10-07,66
2006-10-08 - 2006-10-14,73
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,61
2006-10-29 - 2006-11-04,71
2006-11-05 - 2006-11-11,68
2006-11-12 - 2006-11-18,66
2006-11-19 - 2006-11-25,56
2006-11-26 - 2006-12-02,54
2006-12-03 - 2006-12-09,70
2006-12-10 - 2006-12-16,62
2006-12-17 - 2006-12-23,37
2006-12-24 - 2006-12-30,22
2006-12-31 - 2007-01-06,27
2007-01-07 - 2007-01-13,38
2007-01-14 - 2007-01-20,47
2007-01-21 - 2007-01-27,55
2007-01-28 - 2007-02-03,60
2007-02-04 - 2007-02-10,57
2007-02-11 - 2007-02-17,61
2007-02-18 - 2007-02-24,58
2007-02-25 - 2007-03-03,58
2007-03-04 - 2007-03-10,58
2007-03-11 - 2007-03-17,60
2007-03-18 - 2007-03-24,57
2007-03-25 - 2007-03-31,57
2007-04-01 - 2007-04-07,55
2007-04-08 - 2007-04-14,61
2007-04-15 - 2007-04-21,60
2007-04-22 - 2007-04-28,58
2007-04-29 - 2007-05-05,59
2007-05-06 - 2007-05-12,58
2007-05-13 - 2007-05-19,56
2007-05-20 - 2007-05-26,58
2007-05-27 - 2007-06-02,48
2007-06-03 - 2007-06-09,50
2007-06-10 - 2007-06-16,51
2007-06-17 - 2007-06-23,41
2007-06-24 - 2007-06-30,37
2007-07-01 - 2007-07-07,32
2007-07-08 - 2007-07-14,40
2007-07-15 - 2007-07-21,36
2007-07-22 - 2007-07-28,42
2007-07-29 - 2007-08-04,36
2007-08-05 - 2007-08-11,42
2007-08-12 - 2007-08-18,38
2007-08-19 - 2007-08-25,40
2007-08-26 - 2007-09-01,37
2007-09-02 - 2007-09-08,44
2007-09-09 - 2007-09-15,48
2007-09-16 - 2007-09-22,58
2007-09-23 - 2007-09-29,56
2007-09-30 - 2007-10-06,63
2007-10-07 - 2007-10-13,65
2007-10-14 - 2007-10-20,67
2007-10-21 - 2007-10-27,65
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,64
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,62
