Web Search interest: crohns disease
Worldwide 2004 - present

Interest over time
Week,crohns disease
2004-01-04 - 2004-01-10,62
2004-01-11 - 2004-01-17,87
2004-01-18 - 2004-01-24,70
2004-01-25 - 2004-01-31,71
2004-02-01 - 2004-02-07,63
2004-02-08 - 2004-02-14,72
2004-02-15 - 2004-02-21,65
2004-02-22 - 2004-02-28,92
2004-02-29 - 2004-03-06,83
2004-03-07 - 2004-03-13,67
2004-03-14 - 2004-03-20,68
2004-03-21 - 2004-03-27,50
2004-03-28 - 2004-04-03,71
2004-04-04 - 2004-04-10,62
2004-04-11 - 2004-04-17,75
2004-04-18 - 2004-04-24,77
2004-04-25 - 2004-05-01,63
2004-05-02 - 2004-05-08,65
2004-05-09 - 2004-05-15,59
2004-05-16 - 2004-05-22,71
2004-05-23 - 2004-05-29,76
2004-05-30 - 2004-06-05,69
2004-06-06 - 2004-06-12,73
2004-06-13 - 2004-06-19,56
2004-06-20 - 2004-06-26,54
2004-06-27 - 2004-07-03,74
2004-07-04 - 2004-07-10,61
2004-07-11 - 2004-07-17,59
2004-07-18 - 2004-07-24,73
2004-07-25 - 2004-07-31,82
2004-08-01 - 2004-08-07,73
2004-08-08 - 2004-08-14,74
2004-08-15 - 2004-08-21,71
2004-08-22 - 2004-08-28,76
2004-08-29 - 2004-09-04,77
2004-09-05 - 2004-09-11,67
2004-09-12 - 2004-09-18,99
2004-09-19 - 2004-09-25,81
2004-09-26 - 2004-10-02,74
2004-10-03 - 2004-10-09,83
2004-10-10 - 2004-10-16,75
2004-10-17 - 2004-10-23,100
2004-10-24 - 2004-10-30,69
2004-10-31 - 2004-11-06,83
2004-11-07 - 2004-11-13,77
2004-11-14 - 2004-11-20,82
2004-11-21 - 2004-11-27,68
2004-11-28 - 2004-12-04,75
2004-12-05 - 2004-12-11,85
2004-12-12 - 2004-12-18,73
2004-12-19 - 2004-12-25,92
2004-12-26 - 2005-01-01,65
2005-01-02 - 2005-01-08,75
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,85
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,77
2005-02-06 - 2005-02-12,79
2005-02-13 - 2005-02-19,64
2005-02-20 - 2005-02-26,80
2005-02-27 - 2005-03-05,74
2005-03-06 - 2005-03-12,84
2005-03-13 - 2005-03-19,88
2005-03-20 - 2005-03-26,68
2005-03-27 - 2005-04-02,66
2005-04-03 - 2005-04-09,67
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,60
2005-04-24 - 2005-04-30,59
