Web Search interest: down+to+the+countryside+movement
Worldwide 2004 - present

Interest over time
Week,down+to+the+countryside+movement
2004-01-04 - 2004-01-10,76
2004-01-11 - 2004-01-17,78
2004-01-18 - 2004-01-24,78
2004-01-25 - 2004-01-31,77
2004-02-01 - 2004-02-07,77
2004-02-08 - 2004-02-14,77
2004-02-15 - 2004-02-21,75
2004-02-22 - 2004-02-28,79
2004-02-29 - 2004-03-06,79
2004-03-07 - 2004-03-13,76
2004-03-14 - 2004-03-20,77
2004-03-21 - 2004-03-27,77
2004-03-28 - 2004-04-03,78
2004-04-04 - 2004-04-10,77
2004-04-11 - 2004-04-17,75
2004-04-18 - 2004-04-24,76
2004-04-25 - 2004-05-01,77
2004-05-02 - 2004-05-08,76
2004-05-09 - 2004-05-15,74
2004-05-16 - 2004-05-22,76
2004-05-23 - 2004-05-29,73
2004-05-30 - 2004-06-05,71
2004-06-06 - 2004-06-12,70
2004-06-13 - 2004-06-19,68
2004-06-20 - 2004-06-26,67
2004-06-27 - 2004-07-03,67
2004-07-04 - 2004-07-10,67
2004-07-11 - 2004-07-17,68
2004-07-18 - 2004-07-24,69
2004-07-25 - 2004-07-31,70
2004-08-01 - 2004-08-07,70
2004-08-08 - 2004-08-14,70
2004-08-15 - 2004-08-21,69
2004-08-22 - 2004-08-28,70
2004-08-29 - 2004-09-04,68
2004-09-05 - 2004-09-11,71
2004-09-12 - 2004-09-18,74
2004-09-19 - 2004-09-25,73
2004-09-26 - 2004-10-02,75
2004-10-03 - 2004-10-09,75
2004-10-10 - 2004-10-16,76
2004-10-17 - 2004-10-23,75
2004-10-24 - 2004-10-30,76
2004-10-31 - 2004-11-06,77
2004-11-07 - 2004-11-13,75
2004-11-14 - 2004-11-20,76
2004-11-21 - 2004-11-27,71
2004-11-28 - 2004-12-04,77
2004-12-05 - 2004-12-11,77
2004-12-12 - 2004-12-18,74
2004-12-19 - 2004-12-25,68
2004-12-26 - 2005-01-01,68
2005-01-02 - 2005-01-08,75
2005-01-09 - 2005-01-15,74
