Web Search interest: prostaglandin
Worldwide 2004 - present

Interest over time
Week,prostaglandin
2004-01-04 - 2004-01-10,78
2004-01-11 - 2004-01-17,77
2004-01-18 - 2004-01-24,45
2004-01-25 - 2004-01-31,58
2004-02-01 - 2004-02-07,54
2004-02-08 - 2004-02-14,64
2004-02-15 - 2004-02-21,67
2004-02-22 - 2004-02-28,62
2004-02-29 - 2004-03-06,59
2004-03-07 - 2004-03-13,85
2004-03-14 - 2004-03-20,69
2004-03-21 - 2004-03-27,79
2004-03-28 - 2004-04-03,70
2004-04-04 - 2004-04-10,88
2004-04-11 - 2004-04-17,83
2004-04-18 - 2004-04-24,69
2004-04-25 - 2004-05-01,76
2004-05-02 - 2004-05-08,62
2004-05-09 - 2004-05-15,66
2004-05-16 - 2004-05-22,84
2004-05-23 - 2004-05-29,78
2004-05-30 - 2004-06-05,63
2004-06-06 - 2004-06-12,69
2004-06-13 - 2004-06-19,63
2004-06-20 - 2004-06-26,57
2004-06-27 - 2004-07-03,67
2004-07-04 - 2004-07-10,72
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,64
2004-07-25 - 2004-07-31,59
2004-08-01 - 2004-08-07,66
2004-08-08 - 2004-08-14,72
2004-08-15 - 2004-08-21,59
2004-08-22 - 2004-08-28,55
2004-08-29 - 2004-09-04,65
2004-09-05 - 2004-09-11,43
2004-09-12 - 2004-09-18,71
2004-09-19 - 2004-09-25,73
2004-09-26 - 2004-10-02,67
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,80
2004-10-17 - 2004-10-23,60
2004-10-24 - 2004-10-30,64
2004-10-31 - 2004-11-06,77
2004-11-07 - 2004-11-13,77
2004-11-14 - 2004-11-20,84
2004-11-21 - 2004-11-27,82
2004-11-28 - 2004-12-04,85
2004-12-05 - 2004-12-11,73
2004-12-12 - 2004-12-18,77
2004-12-19 - 2004-12-25,68
2004-12-26 - 2005-01-01,50
2005-01-02 - 2005-01-08,54
2005-01-09 - 2005-01-15,50
2005-01-16 - 2005-01-22,74
2005-01-23 - 2005-01-29,70
2005-01-30 - 2005-02-05,65
2005-02-06 - 2005-02-12,76
2005-02-13 - 2005-02-19,74
2005-02-20 - 2005-02-26,91
2005-02-27 - 2005-03-05,85
2005-03-06 - 2005-03-12,69
2005-03-13 - 2005-03-19,68
2005-03-20 - 2005-03-26,80
2005-03-27 - 2005-04-02,62
2005-04-03 - 2005-04-09,82
2005-04-10 - 2005-04-16,74
2005-04-17 - 2005-04-23,59
2005-04-24 - 2005-04-30,84
2005-05-01 - 2005-05-07,79
2005-05-08 - 2005-05-14,89
2005-05-15 - 2005-05-21,66
2005-05-22 - 2005-05-28,54
2005-05-29 - 2005-06-04,69
2005-06-05 - 2005-06-11,59
2005-06-12 - 2005-06-18,52
2005-06-19 - 2005-06-25,71
2005-06-26 - 2005-07-02,54
2005-07-03 - 2005-07-09,52
2005-07-10 - 2005-07-16,46
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,64
2005-07-31 - 2005-08-06,60
2005-08-07 - 2005-08-13,77
2005-08-14 - 2005-08-20,64
2005-08-21 - 2005-08-27,46
2005-08-28 - 2005-09-03,52
2005-09-04 - 2005-09-10,66
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,56
2005-09-25 - 2005-10-01,49
2005-10-02 - 2005-10-08,56
2005-10-09 - 2005-10-15,59
2005-10-16 - 2005-10-22,73
2005-10-23 - 2005-10-29,63
2005-10-30 - 2005-11-05,79
2005-11-06 - 2005-11-12,73
2005-11-13 - 2005-11-19,56
2005-11-20 - 2005-11-26,50
2005-11-27 - 2005-12-03,65
2005-12-04 - 2005-12-10,67
2005-12-11 - 2005-12-17,78
2005-12-18 - 2005-12-24,47
2005-12-25 - 2005-12-31,39
2006-01-01 - 2006-01-07,50
2006-01-08 - 2006-01-14,69
2006-01-15 - 2006-01-21,59
2006-01-22 - 2006-01-28,57
2006-01-29 - 2006-02-04,65
2006-02-05 - 2006-02-11,49
2006-02-12 - 2006-02-18,68
2006-02-19 - 2006-02-25,70
2006-02-26 - 2006-03-04,56
2006-03-05 - 2006-03-11,59
2006-03-12 - 2006-03-18,62
2006-03-19 - 2006-03-25,56
2006-03-26 - 2006-04-01,66
2006-04-02 - 2006-04-08,66
2006-04-09 - 2006-04-15,60
2006-04-16 - 2006-04-22,66
2006-04-23 - 2006-04-29,59
2006-04-30 - 2006-05-06,66
2006-05-07 - 2006-05-13,60
2006-05-14 - 2006-05-20,57
2006-05-21 - 2006-05-27,51
2006-05-28 - 2006-06-03,49
2006-06-04 - 2006-06-10,65
2006-06-11 - 2006-06-17,63
2006-06-18 - 2006-06-24,51
2006-06-25 - 2006-07-01,45
2006-07-02 - 2006-07-08,50
2006-07-09 - 2006-07-15,58
2006-07-16 - 2006-07-22,51
2006-07-23 - 2006-07-29,51
2006-07-30 - 2006-08-05,44
2006-08-06 - 2006-08-12,46
2006-08-13 - 2006-08-19,39
2006-08-20 - 2006-08-26,60
2006-08-27 - 2006-09-02,52
2006-09-03 - 2006-09-09,49
2006-09-10 - 2006-09-16,53
2006-09-17 - 2006-09-23,47
2006-09-24 - 2006-09-30,47
2006-10-01 - 2006-10-07,57
2006-10-08 - 2006-10-14,59
2006-10-15 - 2006-10-21,59
2006-10-22 - 2006-10-28,60
2006-10-29 - 2006-11-04,53
2006-11-05 - 2006-11-11,62
2006-11-12 - 2006-11-18,63
2006-11-19 - 2006-11-25,45
2006-11-26 - 2006-12-02,66
2006-12-03 - 2006-12-09,65
2006-12-10 - 2006-12-16,43
2006-12-17 - 2006-12-23,37
2006-12-24 - 2006-12-30,36
2006-12-31 - 2007-01-06,48
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,49
2007-01-21 - 2007-01-27,54
2007-01-28 - 2007-02-03,63
2007-02-04 - 2007-02-10,57
2007-02-11 - 2007-02-17,65
2007-02-18 - 2007-02-24,52
2007-02-25 - 2007-03-03,42
2007-03-04 - 2007-03-10,49
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,59
2007-03-25 - 2007-03-31,58
2007-04-01 - 2007-04-07,52
2007-04-08 - 2007-04-14,56
2007-04-15 - 2007-04-21,53
2007-04-22 - 2007-04-28,56
2007-04-29 - 2007-05-05,54
2007-05-06 - 2007-05-12,49
2007-05-13 - 2007-05-19,52
2007-05-20 - 2007-05-26,51
2007-05-27 - 2007-06-02,59
2007-06-03 - 2007-06-09,44
2007-06-10 - 2007-06-16,41
2007-06-17 - 2007-06-23,53
2007-06-24 - 2007-06-30,54
2007-07-01 - 2007-07-07,44
2007-07-08 - 2007-07-14,43
2007-07-15 - 2007-07-21,51
2007-07-22 - 2007-07-28,52
2007-07-29 - 2007-08-04,39
2007-08-05 - 2007-08-11,50
2007-08-12 - 2007-08-18,41
2007-08-19 - 2007-08-25,42
2007-08-26 - 2007-09-01,48
2007-09-02 - 2007-09-08,42
2007-09-09 - 2007-09-15,51
2007-09-16 - 2007-09-22,43
2007-09-23 - 2007-09-29,52
2007-09-30 - 2007-10-06,41
2007-10-07 - 2007-10-13,61
2007-10-14 - 2007-10-20,58
2007-10-21 - 2007-10-27,55
2007-10-28 - 2007-11-03,57
2007-11-04 - 2007-11-10,52
2007-11-11 - 2007-11-17,47
2007-11-18 - 2007-11-24,55
2007-11-25 - 2007-12-01,55
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,50
2007-12-16 - 2007-12-22,39
2007-12-23 - 2007-12-29,35
2007-12-30 - 2008-01-05,37
2008-01-06 - 2008-01-12,44
2008-01-13 - 2008-01-19,42
2008-01-20 - 2008-01-26,37
2008-01-27 - 2008-02-02,45
2008-02-03 - 2008-02-09,44
2008-02-10 - 2008-02-16,48
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,58
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,51
2008-03-16 - 2008-03-22,47
2008-03-23 - 2008-03-29,48
2008-03-30 - 2008-04-05,49
2008-04-06 - 2008-04-12,52
2008-04-13 - 2008-04-19,50
2008-04-20 - 2008-04-26,59
2008-04-27 - 2008-05-03,46
2008-05-04 - 2008-05-10,43
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,44
2008-05-25 - 2008-05-31,47
2008-06-01 - 2008-06-07,48
2008-06-08 - 2008-06-14,43
2008-06-15 - 2008-06-21,42
2008-06-22 - 2008-06-28,47
2008-06-29 - 2008-07-05,38
2008-07-06 - 2008-07-12,41
2008-07-13 - 2008-07-19,41
2008-07-20 - 2008-07-26,46
2008-07-27 - 2008-08-02,41
2008-08-03 - 2008-08-09,39
2008-08-10 - 2008-08-16,37
2008-08-17 - 2008-08-23,39
2008-08-24 - 2008-08-30,38
2008-08-31 - 2008-09-06,41
2008-09-07 - 2008-09-13,47
2008-09-14 - 2008-09-20,49
2008-09-21 - 2008-09-27,44
2008-09-28 - 2008-10-04,40
2008-10-05 - 2008-10-11,50
2008-10-12 - 2008-10-18,52
2008-10-19 - 2008-10-25,50
2008-10-26 - 2008-11-01,53
2008-11-02 - 2008-11-08,48
2008-11-09 - 2008-11-15,50
2008-11-16 - 2008-11-22,49
2008-11-23 - 2008-11-29,41
2008-11-30 - 2008-12-06,49
2008-12-07 - 2008-12-13,48
2008-12-14 - 2008-12-20,39
2008-12-21 - 2008-12-27,31
2008-12-28 - 2009-01-03,35
2009-01-04 - 2009-01-10,41
2009-01-11 - 2009-01-17,41
2009-01-18 - 2009-01-24,43
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,50
2009-02-08 - 2009-02-14,43
2009-02-15 - 2009-02-21,45
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,50
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,53
2009-03-29 - 2009-04-04,44
2009-04-05 - 2009-04-11,48
2009-04-12 - 2009-04-18,42
2009-04-19 - 2009-04-25,47
2009-04-26 - 2009-05-02,50
2009-05-03 - 2009-05-09,46
2009-05-10 - 2009-05-16,47
2009-05-17 - 2009-05-23,40
2009-05-24 - 2009-05-30,43
2009-05-31 - 2009-06-06,41
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,43
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,35
2009-07-05 - 2009-07-11,37
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,38
2009-07-26 - 2009-08-01,35
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,44
2009-08-16 - 2009-08-22,38
2009-08-23 - 2009-08-29,37
2009-08-30 - 2009-09-05,44
2009-09-06 - 2009-09-12,36
2009-09-13 - 2009-09-19,37
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,40
2009-10-04 - 2009-10-10,40
2009-10-11 - 2009-10-17,40
2009-10-18 - 2009-10-24,47
2009-10-25 - 2009-10-31,49
2009-11-01 - 2009-11-07,45
2009-11-08 - 2009-11-14,47
2009-11-15 - 2009-11-21,52
2009-11-22 - 2009-11-28,39
2009-11-29 - 2009-12-05,44
2009-12-06 - 2009-12-12,46
2009-12-13 - 2009-12-19,40
2009-12-20 - 2009-12-26,25
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,33
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,43
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,40
2010-02-14 - 2010-02-20,37
2010-02-21 - 2010-02-27,42
2010-02-28 - 2010-03-06,47
2010-03-07 - 2010-03-13,45
2010-03-14 - 2010-03-20,45
2010-03-21 - 2010-03-27,43
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,46
2010-04-18 - 2010-04-24,48
2010-04-25 - 2010-05-01,48
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,42
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,35
2010-06-06 - 2010-06-12,37
