Web Search interest: placebo
Worldwide 2004 - present

Interest over time
Week,placebo
2004-01-04 - 2004-01-10,56
2004-01-11 - 2004-01-17,56
2004-01-18 - 2004-01-24,55
2004-01-25 - 2004-01-31,58
2004-02-01 - 2004-02-07,54
2004-02-08 - 2004-02-14,55
2004-02-15 - 2004-02-21,61
2004-02-22 - 2004-02-28,61
2004-02-29 - 2004-03-06,57
2004-03-07 - 2004-03-13,60
2004-03-14 - 2004-03-20,64
2004-03-21 - 2004-03-27,62
2004-03-28 - 2004-04-03,60
2004-04-04 - 2004-04-10,57
2004-04-11 - 2004-04-17,56
2004-04-18 - 2004-04-24,55
2004-04-25 - 2004-05-01,54
2004-05-02 - 2004-05-08,52
2004-05-09 - 2004-05-15,49
2004-05-16 - 2004-05-22,47
2004-05-23 - 2004-05-29,47
2004-05-30 - 2004-06-05,49
2004-06-06 - 2004-06-12,43
2004-06-13 - 2004-06-19,46
2004-06-20 - 2004-06-26,45
2004-06-27 - 2004-07-03,49
2004-07-04 - 2004-07-10,55
2004-07-11 - 2004-07-17,49
2004-07-18 - 2004-07-24,48
2004-07-25 - 2004-07-31,47
2004-08-01 - 2004-08-07,43
2004-08-08 - 2004-08-14,39
2004-08-15 - 2004-08-21,41
2004-08-22 - 2004-08-28,46
2004-08-29 - 2004-09-04,43
2004-09-05 - 2004-09-11,43
2004-09-12 - 2004-09-18,40
2004-09-19 - 2004-09-25,44
2004-09-26 - 2004-10-02,46
2004-10-03 - 2004-10-09,48
2004-10-10 - 2004-10-16,54
2004-10-17 - 2004-10-23,60
2004-10-24 - 2004-10-30,69
2004-10-31 - 2004-11-06,68
2004-11-07 - 2004-11-13,72
2004-11-14 - 2004-11-20,62
2004-11-21 - 2004-11-27,64
2004-11-28 - 2004-12-04,58
2004-12-05 - 2004-12-11,57
2004-12-12 - 2004-12-18,56
2004-12-19 - 2004-12-25,59
2004-12-26 - 2005-01-01,59
2005-01-02 - 2005-01-08,52
2005-01-09 - 2005-01-15,51
2005-01-16 - 2005-01-22,51
2005-01-23 - 2005-01-29,47
2005-01-30 - 2005-02-05,51
2005-02-06 - 2005-02-12,46
2005-02-13 - 2005-02-19,51
2005-02-20 - 2005-02-26,50
2005-02-27 - 2005-03-05,52
2005-03-06 - 2005-03-12,56
2005-03-13 - 2005-03-19,58
2005-03-20 - 2005-03-26,55
2005-03-27 - 2005-04-02,69
2005-04-03 - 2005-04-09,70
