Web Search interest: synergy
Worldwide 2004 - present

Interest over time
Week,synergy
2004-01-04 - 2004-01-10,90
2004-01-11 - 2004-01-17,90
2004-01-18 - 2004-01-24,95
2004-01-25 - 2004-01-31,94
2004-02-01 - 2004-02-07,95
2004-02-08 - 2004-02-14,97
2004-02-15 - 2004-02-21,94
2004-02-22 - 2004-02-28,86
2004-02-29 - 2004-03-06,90
2004-03-07 - 2004-03-13,95
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,98
2004-03-28 - 2004-04-03,100
2004-04-04 - 2004-04-10,92
2004-04-11 - 2004-04-17,99
2004-04-18 - 2004-04-24,93
2004-04-25 - 2004-05-01,94
2004-05-02 - 2004-05-08,85
2004-05-09 - 2004-05-15,84
2004-05-16 - 2004-05-22,93
2004-05-23 - 2004-05-29,86
2004-05-30 - 2004-06-05,80
2004-06-06 - 2004-06-12,92
2004-06-13 - 2004-06-19,95
2004-06-20 - 2004-06-26,87
2004-06-27 - 2004-07-03,82
2004-07-04 - 2004-07-10,83
2004-07-11 - 2004-07-17,85
2004-07-18 - 2004-07-24,87
2004-07-25 - 2004-07-31,92
2004-08-01 - 2004-08-07,95
2004-08-08 - 2004-08-14,97
2004-08-15 - 2004-08-21,100
2004-08-22 - 2004-08-28,94
2004-08-29 - 2004-09-04,91
2004-09-05 - 2004-09-11,83
2004-09-12 - 2004-09-18,89
2004-09-19 - 2004-09-25,90
2004-09-26 - 2004-10-02,91
2004-10-03 - 2004-10-09,88
2004-10-10 - 2004-10-16,95
2004-10-17 - 2004-10-23,83
2004-10-24 - 2004-10-30,86
2004-10-31 - 2004-11-06,93
2004-11-07 - 2004-11-13,82
2004-11-14 - 2004-11-20,86
2004-11-21 - 2004-11-27,82
2004-11-28 - 2004-12-04,87
2004-12-05 - 2004-12-11,89
2004-12-12 - 2004-12-18,82
2004-12-19 - 2004-12-25,72
2004-12-26 - 2005-01-01,73
2005-01-02 - 2005-01-08,83
2005-01-09 - 2005-01-15,93
2005-01-16 - 2005-01-22,84
2005-01-23 - 2005-01-29,91
2005-01-30 - 2005-02-05,84
2005-02-06 - 2005-02-12,88
2005-02-13 - 2005-02-19,87
2005-02-20 - 2005-02-26,90
2005-02-27 - 2005-03-05,90
2005-03-06 - 2005-03-12,90
2005-03-13 - 2005-03-19,89
2005-03-20 - 2005-03-26,87
2005-03-27 - 2005-04-02,82
2005-04-03 - 2005-04-09,83
2005-04-10 - 2005-04-16,81
2005-04-17 - 2005-04-23,77
2005-04-24 - 2005-04-30,88
2005-05-01 - 2005-05-07,94
2005-05-08 - 2005-05-14,79
2005-05-15 - 2005-05-21,87
2005-05-22 - 2005-05-28,86
2005-05-29 - 2005-06-04,88
2005-06-05 - 2005-06-11,83
2005-06-12 - 2005-06-18,85
2005-06-19 - 2005-06-25,88
2005-06-26 - 2005-07-02,82
2005-07-03 - 2005-07-09,85
2005-07-10 - 2005-07-16,95
2005-07-17 - 2005-07-23,94
2005-07-24 - 2005-07-30,85
2005-07-31 - 2005-08-06,89
2005-08-07 - 2005-08-13,95
2005-08-14 - 2005-08-20,84
2005-08-21 - 2005-08-27,87
2005-08-28 - 2005-09-03,82
2005-09-04 - 2005-09-10,82
2005-09-11 - 2005-09-17,91
2005-09-18 - 2005-09-24,88
2005-09-25 - 2005-10-01,91
2005-10-02 - 2005-10-08,98
2005-10-09 - 2005-10-15,90
2005-10-16 - 2005-10-22,90
2005-10-23 - 2005-10-29,88
2005-10-30 - 2005-11-05,86
2005-11-06 - 2005-11-12,88
2005-11-13 - 2005-11-19,87
2005-11-20 - 2005-11-26,86
2005-11-27 - 2005-12-03,89
2005-12-04 - 2005-12-10,93
2005-12-11 - 2005-12-17,86
2005-12-18 - 2005-12-24,82
2005-12-25 - 2005-12-31,77
2006-01-01 - 2006-01-07,88
2006-01-08 - 2006-01-14,92
2006-01-15 - 2006-01-21,92
2006-01-22 - 2006-01-28,91
2006-01-29 - 2006-02-04,92
2006-02-05 - 2006-02-11,89
2006-02-12 - 2006-02-18,93
2006-02-19 - 2006-02-25,91
2006-02-26 - 2006-03-04,87
2006-03-05 - 2006-03-11,88
2006-03-12 - 2006-03-18,86
2006-03-19 - 2006-03-25,91
2006-03-26 - 2006-04-01,85
2006-04-02 - 2006-04-08,94
2006-04-09 - 2006-04-15,90
2006-04-16 - 2006-04-22,87
2006-04-23 - 2006-04-29,93
2006-04-30 - 2006-05-06,95
2006-05-07 - 2006-05-13,92
2006-05-14 - 2006-05-20,88
2006-05-21 - 2006-05-27,85
2006-05-28 - 2006-06-03,84
2006-06-04 - 2006-06-10,88
2006-06-11 - 2006-06-17,90
2006-06-18 - 2006-06-24,90
2006-06-25 - 2006-07-01,84
2006-07-02 - 2006-07-08,79
2006-07-09 - 2006-07-15,85
2006-07-16 - 2006-07-22,86
2006-07-23 - 2006-07-29,89
2006-07-30 - 2006-08-05,90
2006-08-06 - 2006-08-12,87
2006-08-13 - 2006-08-19,91
2006-08-20 - 2006-08-26,89
2006-08-27 - 2006-09-02,89
2006-09-03 - 2006-09-09,87
2006-09-10 - 2006-09-16,87
2006-09-17 - 2006-09-23,84
2006-09-24 - 2006-09-30,79
2006-10-01 - 2006-10-07,86
2006-10-08 - 2006-10-14,91
2006-10-15 - 2006-10-21,85
2006-10-22 - 2006-10-28,84
2006-10-29 - 2006-11-04,91
2006-11-05 - 2006-11-11,90
2006-11-12 - 2006-11-18,92
2006-11-19 - 2006-11-25,92
2006-11-26 - 2006-12-02,89
2006-12-03 - 2006-12-09,87
2006-12-10 - 2006-12-16,89
2006-12-17 - 2006-12-23,85
2006-12-24 - 2006-12-30,73
2006-12-31 - 2007-01-06,86
2007-01-07 - 2007-01-13,87
2007-01-14 - 2007-01-20,89
2007-01-21 - 2007-01-27,86
2007-01-28 - 2007-02-03,89
2007-02-04 - 2007-02-10,89
2007-02-11 - 2007-02-17,91
2007-02-18 - 2007-02-24,85
2007-02-25 - 2007-03-03,93
2007-03-04 - 2007-03-10,86
2007-03-11 - 2007-03-17,88
2007-03-18 - 2007-03-24,87
2007-03-25 - 2007-03-31,87
2007-04-01 - 2007-04-07,86
2007-04-08 - 2007-04-14,87
2007-04-15 - 2007-04-21,90
2007-04-22 - 2007-04-28,94
2007-04-29 - 2007-05-05,94
2007-05-06 - 2007-05-12,93
2007-05-13 - 2007-05-19,91
2007-05-20 - 2007-05-26,88
2007-05-27 - 2007-06-02,84
2007-06-03 - 2007-06-09,93
2007-06-10 - 2007-06-16,88
2007-06-17 - 2007-06-23,86
2007-06-24 - 2007-06-30,91
2007-07-01 - 2007-07-07,84
2007-07-08 - 2007-07-14,88
2007-07-15 - 2007-07-21,86
2007-07-22 - 2007-07-28,85
2007-07-29 - 2007-08-04,86
2007-08-05 - 2007-08-11,90
2007-08-12 - 2007-08-18,87
2007-08-19 - 2007-08-25,85
2007-08-26 - 2007-09-01,85
2007-09-02 - 2007-09-08,84
2007-09-09 - 2007-09-15,82
2007-09-16 - 2007-09-22,88
2007-09-23 - 2007-09-29,90
2007-09-30 - 2007-10-06,88
2007-10-07 - 2007-10-13,87
2007-10-14 - 2007-10-20,86
2007-10-21 - 2007-10-27,91
2007-10-28 - 2007-11-03,93
2007-11-04 - 2007-11-10,91
2007-11-11 - 2007-11-17,86
2007-11-18 - 2007-11-24,86
2007-11-25 - 2007-12-01,94
2007-12-02 - 2007-12-08,91
2007-12-09 - 2007-12-15,85
2007-12-16 - 2007-12-22,81
2007-12-23 - 2007-12-29,70
2007-12-30 - 2008-01-05,83
2008-01-06 - 2008-01-12,85
2008-01-13 - 2008-01-19,86
2008-01-20 - 2008-01-26,89
2008-01-27 - 2008-02-02,90
2008-02-03 - 2008-02-09,91
2008-02-10 - 2008-02-16,87
2008-02-17 - 2008-02-23,93
2008-02-24 - 2008-03-01,87
2008-03-02 - 2008-03-08,84
2008-03-09 - 2008-03-15,88
2008-03-16 - 2008-03-22,88
2008-03-23 - 2008-03-29,85
2008-03-30 - 2008-04-05,85
2008-04-06 - 2008-04-12,88
2008-04-13 - 2008-04-19,88
2008-04-20 - 2008-04-26,88
2008-04-27 - 2008-05-03,91
2008-05-04 - 2008-05-10,84
2008-05-11 - 2008-05-17,87
2008-05-18 - 2008-05-24,87
2008-05-25 - 2008-05-31,83
2008-06-01 - 2008-06-07,85
2008-06-08 - 2008-06-14,86
2008-06-15 - 2008-06-21,83
2008-06-22 - 2008-06-28,84
2008-06-29 - 2008-07-05,83
2008-07-06 - 2008-07-12,86
2008-07-13 - 2008-07-19,81
2008-07-20 - 2008-07-26,86
2008-07-27 - 2008-08-02,83
2008-08-03 - 2008-08-09,83
2008-08-10 - 2008-08-16,87
2008-08-17 - 2008-08-23,83
2008-08-24 - 2008-08-30,80
2008-08-31 - 2008-09-06,74
2008-09-07 - 2008-09-13,79
2008-09-14 - 2008-09-20,85
2008-09-21 - 2008-09-27,84
2008-09-28 - 2008-10-04,90
2008-10-05 - 2008-10-11,95
2008-10-12 - 2008-10-18,89
2008-10-19 - 2008-10-25,86
2008-10-26 - 2008-11-01,81
2008-11-02 - 2008-11-08,80
2008-11-09 - 2008-11-15,80
2008-11-16 - 2008-11-22,82
2008-11-23 - 2008-11-29,75
2008-11-30 - 2008-12-06,79
2008-12-07 - 2008-12-13,79
2008-12-14 - 2008-12-20,78
2008-12-21 - 2008-12-27,70
2008-12-28 - 2009-01-03,72
2009-01-04 - 2009-01-10,82
2009-01-11 - 2009-01-17,81
2009-01-18 - 2009-01-24,80
2009-01-25 - 2009-01-31,86
2009-02-01 - 2009-02-07,82
2009-02-08 - 2009-02-14,83
2009-02-15 - 2009-02-21,85
2009-02-22 - 2009-02-28,82
2009-03-01 - 2009-03-07,83
2009-03-08 - 2009-03-14,82
2009-03-15 - 2009-03-21,83
2009-03-22 - 2009-03-28,84
2009-03-29 - 2009-04-04,83
2009-04-05 - 2009-04-11,84
2009-04-12 - 2009-04-18,80
2009-04-19 - 2009-04-25,79
2009-04-26 - 2009-05-02,81
2009-05-03 - 2009-05-09,78
2009-05-10 - 2009-05-16,80
2009-05-17 - 2009-05-23,81
2009-05-24 - 2009-05-30,74
2009-05-31 - 2009-06-06,79
2009-06-07 - 2009-06-13,77
2009-06-14 - 2009-06-20,85
2009-06-21 - 2009-06-27,76
2009-06-28 - 2009-07-04,70
2009-07-05 - 2009-07-11,73
2009-07-12 - 2009-07-18,75
2009-07-19 - 2009-07-25,77
2009-07-26 - 2009-08-01,76
2009-08-02 - 2009-08-08,78
2009-08-09 - 2009-08-15,79
2009-08-16 - 2009-08-22,78
2009-08-23 - 2009-08-29,75
2009-08-30 - 2009-09-05,74
2009-09-06 - 2009-09-12,75
2009-09-13 - 2009-09-19,76
2009-09-20 - 2009-09-26,73
2009-09-27 - 2009-10-03,70
2009-10-04 - 2009-10-10,74
2009-10-11 - 2009-10-17,74
2009-10-18 - 2009-10-24,73
2009-10-25 - 2009-10-31,76
2009-11-01 - 2009-11-07,75
2009-11-08 - 2009-11-14,76
2009-11-15 - 2009-11-21,74
2009-11-22 - 2009-11-28,70
2009-11-29 - 2009-12-05,75
2009-12-06 - 2009-12-12,73
2009-12-13 - 2009-12-19,70
2009-12-20 - 2009-12-26,58
2009-12-27 - 2010-01-02,61
2010-01-03 - 2010-01-09,73
2010-01-10 - 2010-01-16,76
2010-01-17 - 2010-01-23,80
2010-01-24 - 2010-01-30,73
2010-01-31 - 2010-02-06,76
2010-02-07 - 2010-02-13,73
2010-02-14 - 2010-02-20,75
2010-02-21 - 2010-02-27,74
2010-02-28 - 2010-03-06,75
2010-03-07 - 2010-03-13,76
2010-03-14 - 2010-03-20,74
2010-03-21 - 2010-03-27,77
2010-03-28 - 2010-04-03,71
2010-04-04 - 2010-04-10,75
2010-04-11 - 2010-04-17,78
2010-04-18 - 2010-04-24,77
2010-04-25 - 2010-05-01,74
2010-05-02 - 2010-05-08,76
2010-05-09 - 2010-05-15,75
2010-05-16 - 2010-05-22,72
2010-05-23 - 2010-05-29,72
2010-05-30 - 2010-06-05,73
2010-06-06 - 2010-06-12,73
2010-06-13 - 2010-06-19,71
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,70
2010-07-04 - 2010-07-10,69
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,74
2010-07-25 - 2010-07-31,73
2010-08-01 - 2010-08-07,72
2010-08-08 - 2010-08-14,72
2010-08-15 - 2010-08-21,72
2010-08-22 - 2010-08-28,69
2010-08-29 - 2010-09-04,68
2010-09-05 - 2010-09-11,67
2010-09-12 - 2010-09-18,70
2010-09-19 - 2010-09-25,69
2010-09-26 - 2010-10-02,70
2010-10-03 - 2010-10-09,72
2010-10-10 - 2010-10-16,69
2010-10-17 - 2010-10-23,71
2010-10-24 - 2010-10-30,67
2010-10-31 - 2010-11-06,67
2010-11-07 - 2010-11-13,66
2010-11-14 - 2010-11-20,68
2010-11-21 - 2010-11-27,66
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,63
2010-12-19 - 2010-12-25,57
2010-12-26 - 2011-01-01,55
2011-01-02 - 2011-01-08,68
2011-01-09 - 2011-01-15,69
2011-01-16 - 2011-01-22,68
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,69
2011-02-06 - 2011-02-12,69
2011-02-13 - 2011-02-19,71
2011-02-20 - 2011-02-26,72
2011-02-27 - 2011-03-05,76
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,70
2011-03-20 - 2011-03-26,72
2011-03-27 - 2011-04-02,73
2011-04-03 - 2011-04-09,72
2011-04-10 - 2011-04-16,70
2011-04-17 - 2011-04-23,71
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,68
2011-05-08 - 2011-05-14,70
2011-05-15 - 2011-05-21,71
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,68
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,72
2011-06-26 - 2011-07-02,70
2011-07-03 - 2011-07-09,67
2011-07-10 - 2011-07-16,70
2011-07-17 - 2011-07-23,70
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,72
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,72
2011-08-21 - 2011-08-27,72
2011-08-28 - 2011-09-03,70
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,76
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,71
2011-10-09 - 2011-10-15,70
2011-10-16 - 2011-10-22,69
2011-10-23 - 2011-10-29,68
2011-10-30 - 2011-11-05,68
2011-11-06 - 2011-11-12,67
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,66
2011-11-27 - 2011-12-03,68
2011-12-04 - 2011-12-10,68
2011-12-11 - 2011-12-17,63
2011-12-18 - 2011-12-24,57
2011-12-25 - 2011-12-31,55
2012-01-01 - 2012-01-07,64
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,68
2012-01-22 - 2012-01-28,68
2012-01-29 - 2012-02-04,69
2012-02-05 - 2012-02-11,69
2012-02-12 - 2012-02-18,68
2012-02-19 - 2012-02-25,69
2012-02-26 - 2012-03-03,78
2012-03-04 - 2012-03-10,71
2012-03-11 - 2012-03-17,69
2012-03-18 - 2012-03-24,68
2012-03-25 - 2012-03-31,66
2012-04-01 - 2012-04-07,66
2012-04-08 - 2012-04-14,63
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,68
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,68
2012-05-27 - 2012-06-02,65
2012-06-03 - 2012-06-09,62
2012-06-10 - 2012-06-16,73
2012-06-17 - 2012-06-23,64
2012-06-24 - 2012-06-30,65
2012-07-01 - 2012-07-07,64
2012-07-08 - 2012-07-14,66
2012-07-15 - 2012-07-21,67
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,65
2012-08-05 - 2012-08-11,65
2012-08-12 - 2012-08-18,67
2012-08-19 - 2012-08-25,67
2012-08-26 - 2012-09-01,66
2012-09-02 - 2012-09-08,67
2012-09-09 - 2012-09-15,68
2012-09-16 - 2012-09-22,67
2012-09-23 - 2012-09-29,67
2012-09-30 - 2012-10-06,65
2012-10-07 - 2012-10-13,65
2012-10-14 - 2012-10-20,67
2012-10-21 - 2012-10-27,65
2012-10-28 - 2012-11-03,64
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,62
2012-11-18 - 2012-11-24,59
2012-11-25 - 2012-12-01,68
2012-12-02 - 2012-12-08,64
2012-12-09 - 2012-12-15,62
2012-12-16 - 2012-12-22,56
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,57
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,63
2013-01-20 - 2013-01-26,66
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,64
2013-02-10 - 2013-02-16,64
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,64
2013-03-03 - 2013-03-09,65
2013-03-10 - 2013-03-16,65
2013-03-17 - 2013-03-23,65
2013-03-24 - 2013-03-30,62
2013-03-31 - 2013-04-06,62
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,68
2013-04-21 - 2013-04-27,67
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,65
2013-05-12 - 2013-05-18,66
2013-05-19 - 2013-05-25,67
2013-05-26 - 2013-06-01,63
2013-06-02 - 2013-06-08,65
2013-06-09 - 2013-06-15,61
2013-06-16 - 2013-06-22,62
2013-06-23 - 2013-06-29,61
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,65
2013-07-21 - 2013-07-27,62
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,64
2013-08-18 - 2013-08-24,66
2013-08-25 - 2013-08-31,64
2013-09-01 - 2013-09-07,63
2013-09-08 - 2013-09-14,68
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,65
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,65
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,66
2013-11-17 - 2013-11-23,67
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,63
2013-12-15 - 2013-12-21,64
2013-12-22 - 2013-12-28,47
2013-12-29 - 2014-01-04,54
2014-01-05 - 2014-01-11,68
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,68
2014-01-26 - 2014-02-01,67
2014-02-02 - 2014-02-08,65
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,69
2014-03-02 - 2014-03-08,67
2014-03-09 - 2014-03-15,65
2014-03-16 - 2014-03-22,66
2014-03-23 - 2014-03-29,66
2014-03-30 - 2014-04-05,64
2014-04-06 - 2014-04-12,67
2014-04-13 - 2014-04-19,65
2014-04-20 - 2014-04-26,66
2014-04-27 - 2014-05-03,67
2014-05-04 - 2014-05-10,67
2014-05-11 - 2014-05-17,66
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,61
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,62
2014-06-15 - 2014-06-21,59
2014-06-22 - 2014-06-28,60
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,60
2014-07-13 - 2014-07-19,61
2014-07-20 - 2014-07-26,63
2014-07-27 - 2014-08-02,62
2014-08-03 - 2014-08-09,64
2014-08-10 - 2014-08-16,62
2014-08-17 - 2014-08-23,70
2014-08-24 - 2014-08-30,69
2014-08-31 - 2014-09-06,67
2014-09-07 - 2014-09-13,69
2014-09-14 - 2014-09-20,69
2014-09-21 - 2014-09-27,70
2014-09-28 - 2014-10-04,73
2014-10-05 - 2014-10-11,70
2014-10-12 - 2014-10-18,71
2014-10-19 - 2014-10-25,71
2014-10-26 - 2014-11-01,68
2014-11-02 - 2014-11-08,69
2014-11-09 - 2014-11-15,68
2014-11-16 - 2014-11-22,70
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,69
2014-12-07 - 2014-12-13,67
2014-12-14 - 2014-12-20,68
2014-12-21 - 2014-12-27,47
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,67
2015-01-18 - 2015-01-24,69
2015-01-25 - 2015-01-31,68
2015-02-01 - 2015-02-07,69
2015-02-08 - 2015-02-14,67
2015-02-15 - 2015-02-21,65
2015-02-22 - 2015-02-28,68
2015-03-01 - 2015-03-07,67
2015-03-08 - 2015-03-14,67
2015-03-15 - 2015-03-21,67
2015-03-22 - 2015-03-28,68
2015-03-29 - 2015-04-04,63
2015-04-05 - 2015-04-11,62
2015-04-12 - 2015-04-18,67
2015-04-19 - 2015-04-25,68
2015-04-26 - 2015-05-02,68
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,69
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,65
2015-06-07 - 2015-06-13,61
2015-06-14 - 2015-06-20,61
2015-06-21 - 2015-06-27,59
2015-06-28 - 2015-07-04,58
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,58
2015-07-19 - 2015-07-25,62
2015-07-26 - 2015-08-01,62
2015-08-02 - 2015-08-08,61
2015-08-09 - 2015-08-15,63
2015-08-16 - 2015-08-22,66
2015-08-23 - 2015-08-29,68
2015-08-30 - 2015-09-05,70
2015-09-06 - 2015-09-12,70
2015-09-13 - 2015-09-19,71
2015-09-20 - 2015-09-26,70
2015-09-27 - 2015-10-03,72
2015-10-04 - 2015-10-10,73
2015-10-11 - 2015-10-17,69
2015-10-18 - 2015-10-24,70
2015-10-25 - 2015-10-31,71
2015-11-01 - 2015-11-07,71
2015-11-08 - 2015-11-14,68
2015-11-15 - 2015-11-21,71
2015-11-22 - 2015-11-28,60
2015-11-29 - 2015-12-05,68
2015-12-06 - 2015-12-12,70
2015-12-13 - 2015-12-19,71
2015-12-20 - 2015-12-26,50
2015-12-27 - 2016-01-02,48
2016-01-03 - 2016-01-09,68
2016-01-10 - 2016-01-16,69
2016-01-17 - 2016-01-23,74
2016-01-24 - 2016-01-30,75
2016-01-31 - 2016-02-06,72
2016-02-07 - 2016-02-13,70
2016-02-14 - 2016-02-20,66
2016-02-21 - 2016-02-27,73
2016-02-28 - 2016-03-05,73
2016-03-06 - 2016-03-12,69
2016-03-13 - 2016-03-19,70
2016-03-20 - 2016-03-26,66
2016-03-27 - 2016-04-02,65
